Vardas              Pavarde             Vid.                Med.                
Grigorijus          Jankauskas          5.8                 5.8                 
Grigorijus          Kateiva             5.2                 5.2                 
Grigorijus          Jankauskas          6                   6                   
Grigorijus          Urbonas             8.8                 8.8                 
Grigorijus          Kazlaukas           6                   6                   
Gunaras             Vasiliauskas        6                   6                   
Gunaras             Vasiliauskas        5.6                 5.6                 
Gunaras             Kazlaukas           7.8                 7.8                 
Gunaras             Jankauskas          5.2                 5.2                 
Gunaras             Stankevicius        5.4                 5.4                 
Gunaras             zukauskas           8.4                 8.4                 
Gunaras             Paulauskas          7                   7                   
Gustas              Urbonas             5.2                 5.2                 
Gustas              Kateiva             7.8                 7.8                 
Gustas              Paulauskas          8.4                 8.4                 
Gustas              Paulauskas          5.8                 5.8                 
Gustas              Petrauskas          6.4                 6.4                 
Gustas              Baranauskas         7.2                 7.2                 
Gustavas            Stankevicius        5.8                 5.8                 
Gustavas            Butkus              6.6                 6.6                 
Gustavas            Kavaliauskas        5.8                 5.8                 
Gustavas            Kavaliauskas        6.6                 6.6                 
Gustavas            Butkus              5.2                 5.2                 
Gustavas            Stankevicius        5.2                 5.2                 
Gustavas            Vasiliauskas        7.6                 7.6                 
Gustis              Vasiliauskas        6.2                 6.2                 
Gustis              Stankevicius        5.2                 5.2                 
Gustis              zukauskas           5                   5                   
Gvidas              zukauskas           9                   9                   
Gvidas              Pocius              5                   5                   
Gvidas              Butkus              6.6                 6.6                 
Gvidas              zukauskas           6.6                 6.6                 
Gvidas              Urbonas             6.2                 6.2                 
Gvidonas            Sakalauskas         8.6                 8.6                 
Gvidonas            Butkus              5                   5                   
Gvidonas            Paulauskas          8.8                 8.8                 
Gvidonas            Jankauskas          6.6                 6.6                 
Gvidonas            Jankauskas          8                   8                   
Gvidonas            Petrauskas          6.4                 6.4                 
Gytautas            Jankauskas          6.8                 6.8                 
Gytautas            Pocius              6                   6                   
Gytautas            Urbonas             5.6                 5.6                 
Gytautas            Vasiliauskas        8.4                 8.4                 
Gytautas            Jankauskas          6.6                 6.6                 
Gytautas            Kateiva             5.2                 5.2                 
Gytautas            Baranauskas         6.8                 6.8                 
Gytautas            Paulauskas          9.2                 9.2                 
Gytautas            Petrauskas          5                   5                   
Gytis               zukauskas           6.2                 6.2                 
Gytis               Sakalauskas         7.2                 7.2                 
Gytis               Petrauskas          6.8                 6.8                 
Gytis               Kavaliauskas        6.2                 6.2                 
Gytis               Baranauskas         8                   8                   
Gytis               zukauskas           5.4                 5.4                 
Gytis               Vasiliauskas        8                   8                   
Gytis               Jankauskas          6                   6                   
Haraldas            Pocius              5.6                 5.6                 
Haraldas            Stankevicius        5.2                 5.2                 
Haraldas            Jankauskas          6.8                 6.8                 
Haraldas            Jankauskas          5.6                 5.6                 
Haraldas            Petrauskas          6.4                 6.4                 
Haraldas            Petrauskas          7                   7                   
Haris               zukauskas           8.8                 8.8                 
Haris               Baranauskas         6                   6                   
Haris               Jankauskas          8.4                 8.4                 
Haroldas            Pocius              6.8                 6.8                 
Haroldas            Pocius              8.2                 8.2                 
Haroldas            Pocius              8.8                 8.8                 
Haroldas            Kavaliauskas        7.4                 7.4                 
Haroldas            zukauskas           5.8                 5.8                 
Haroldas            Kazlaukas           7.6                 7.6                 
Haroldas            zukauskas           6.6                 6.6                 
Haroldas            Paulauskas          7.6                 7.6                 
Haroldas            Jankauskas          7.8                 7.8                 
Hektoras            zukauskas           5.4                 5.4                 
Hektoras            zukauskas           7                   7                   
Hektoras            Pocius              6.8                 6.8                 
Hektoras            Butkus              5.8                 5.8                 
Hektoras            Paulauskas          8.2                 8.2                 
Hektoras            Petrauskas          9.4                 9.4                 
Hektoras            Baranauskas         9.6                 9.6                 
Helmutas            Pocius              9.4                 9.4                 
Helmutas            Petrauskas          5.2                 5.2                 
Helmutas            Paulauskas          5                   5                   
Henrikas            Sakalauskas         6.6                 6.6                 
Henrikas            Vasiliauskas        7.4                 7.4                 
Henrikas            Kateiva             5.8                 5.8                 
Henrikas            Pocius              8.8                 8.8                 
Henrikas            Kavaliauskas        7                   7                   
Henris              Butkus              5.8                 5.8                 
Henris              Butkus              7.2                 7.2                 
Henris              zukauskas           8.8                 8.8                 
Henris              Urbonas             8.4                 8.4                 
Henris              Butkus              6                   6                   
Henris              Stankevicius        8                   8                   
Henris              Urbonas             6.4                 6.4                 
Henris              Sakalauskas         6                   6                   
Herbertas           Kavaliauskas        6.6                 6.6                 
Herbertas           Urbonas             8                   8                   
Herbertas           Baranauskas         6.2                 6.2                 
Herbertas           Urbonas             5.4                 5.4                 
Herbertas           Jankauskas          6.2                 6.2                 
Herbertas           Sakalauskas         6.4                 6.4                 
Herbertas           Baranauskas         7.4                 7.4                 
Herbertas           Kateiva             5                   5                   
Herbertas           Vasiliauskas        7.8                 7.8                 
Herbertas           Baranauskas         6.8                 6.8                 
Herbertas           Baranauskas         5.2                 5.2                 
Herkus              Kavaliauskas        7.2                 7.2                 
Herkus              Vasiliauskas        6.4                 6.4                 
Herkus              Kateiva             7.6                 7.6                 
Herkus              Kazlaukas           6.4                 6.4                 
Herkus              zukauskas           7.4                 7.4                 
Herkus              Petrauskas          5                   5                   
Herkus              Paulauskas          6.8                 6.8                 
Herkus              Vasiliauskas        5.8                 5.8                 
Herkus              Stankevicius        7.8                 7.8                 
Hermanas            Baranauskas         5                   5                   
Hermanas            Stankevicius        7.8                 7.8                 
Hermanas            zukauskas           5.6                 5.6                 
Hermanas            Baranauskas         6                   6                   
Hermanas            Kavaliauskas        8.2                 8.2                 
Hermanas            Kateiva             6.6                 6.6                 
Hermanas            Sakalauskas         7.6                 7.6                 
Hermanas            Kavaliauskas        5.2                 5.2                 
Hilarijus           Stankevicius        6.4                 6.4                 
Hilarijus           Kazlaukas           8.8                 8.8                 
Hilarijus           Kateiva             5.2                 5.2                 
Hilarijus           Urbonas             6                   6                   
Hilarijus           Kazlaukas           5.8                 5.8                 
Hilarijus           Kavaliauskas        9.2                 9.2                 
Hilarijus           Pocius              7.6                 7.6                 
Hilarijus           zukauskas           5.6                 5.6                 
Horacijus           Kavaliauskas        7.6                 7.6                 
Horacijus           Butkus              6.4                 6.4                 
Horacijus           Butkus              6                   6                   
Horacijus           Butkus              8.2                 8.2                 
Horacijus           Paulauskas          5.2                 5.2                 
Horstas             Paulauskas          9.2                 9.2                 
Horstas             Kavaliauskas        6.4                 6.4                 
Horstas             Butkus              5.4                 5.4                 
Horstas             Stankevicius        8                   8                   
Horstas             Stankevicius        5                   5                   
Horstas             Kateiva             5.4                 5.4                 
Horstas             Stankevicius        6.2                 6.2                 
Horstas             Vasiliauskas        6.6                 6.6                 
Horstas             Baranauskas         9                   9                   
Horstas             Petrauskas          5                   5                   
Hubertas            Baranauskas         6.6                 6.6                 
Hubertas            Petrauskas          7.6                 7.6                 
Hubertas            Kateiva             8.4                 8.4                 
Hubertas            Butkus              6.8                 6.8                 
Hubertas            Butkus              5.4                 5.4                 
Hubertas            Baranauskas         6.6                 6.6                 
Ignacas             Petrauskas          9.2                 9.2                 
Ignacas             Jankauskas          5.4                 5.4                 
Ignacas             Kavaliauskas        5.8                 5.8                 
Ignacas             Petrauskas          6                   6                   
Ignacas             Petrauskas          10                  10                  
Ignacas             Paulauskas          7.8                 7.8                 
Ignacas             Pocius              5                   5                   
Ignacas             Sakalauskas         5.8                 5.8                 
Ignacas             Kavaliauskas        8.8                 8.8                 
Ignacas             Kavaliauskas        8                   8                   
Ignacas             Kazlaukas           7                   7                   
Ignacas             Sakalauskas         6.6                 6.6                 
Ignacas             Butkus              8.2                 8.2                 
Ignas               Baranauskas         5.8                 5.8                 
Ignas               Paulauskas          8                   8                   
Ignas               zukauskas           5.8                 5.8                 
Ignas               Kavaliauskas        6.4                 6.4                 
Ignas               Pocius              7.2                 7.2                 
Ignotas             Petrauskas          6.4                 6.4                 
Ignotas             Butkus              7.2                 7.2                 
Ignotas             Petrauskas          5.8                 5.8                 
Ignotas             zukauskas           6.2                 6.2                 
Ignotas             Jankauskas          7.8                 7.8                 
Ignotas             Pocius              5.8                 5.8                 
Igoris              Stankevicius        6.4                 6.4                 
Igoris              Baranauskas         7.4                 7.4                 
Igoris              Jankauskas          7.6                 7.6                 
Igoris              Pocius              5.2                 5.2                 
Igoris              Kazlaukas           7.2                 7.2                 
Igoris              Pocius              8.4                 8.4                 
Igoris              Butkus              7.2                 7.2                 
Igoris              Paulauskas          5.4                 5.4                 
Ilja                Petrauskas          6.2                 6.2                 
Ilja                Butkus              5.8                 5.8                 
Ilja                Baranauskas         8.8                 8.8                 
Ilja                Kavaliauskas        7.2                 7.2                 
Ilja                zukauskas           6.6                 6.6                 
Ilja                Sakalauskas         5.4                 5.4                 
Ilja                Kavaliauskas        6.6                 6.6                 
Ilja                Pocius              6.2                 6.2                 
Ilja                Butkus              8.8                 8.8                 
Imantas             Jankauskas          8.6                 8.6                 
Imantas             Baranauskas         5                   5                   
Imantas             Kazlaukas           6.6                 6.6                 
Imantas             Urbonas             9                   9                   
Imantas             Urbonas             7                   7                   
Imantas             Jankauskas          6.6                 6.6                 
Imantas             Urbonas             7                   7                   
Imantas             Kateiva             7.2                 7.2                 
Imantas             Sakalauskas         6.6                 6.6                 
Imantas             Jankauskas          8.6                 8.6                 
Indrius             Kateiva             5.4                 5.4                 
Indrius             Kazlaukas           5.8                 5.8                 
Indrius             Kazlaukas           6.4                 6.4                 
Indrius             Sakalauskas         5.8                 5.8                 
Indrius             Kavaliauskas        7                   7                   
Indrius             Paulauskas          7.2                 7.2                 
Indrius             Kavaliauskas        7.4                 7.4                 
Indrius             Petrauskas          8.4                 8.4                 
Ingvaras            Vasiliauskas        5.6                 5.6                 
Ingvaras            Petrauskas          5.4                 5.4                 
Ingvaras            Butkus              9.4                 9.4                 
Ingvaras            zukauskas           5.6                 5.6                 
Ingvaras            Stankevicius        5.6                 5.6                 
Ingvaras            zukauskas           7.2                 7.2                 
Ingvaras            Kazlaukas           8.8                 8.8                 
Ingvaras            Jankauskas          7.6                 7.6                 
Inocentas           Butkus              5.8                 5.8                 
Inocentas           Vasiliauskas        8                   8                   
Inocentas           Jankauskas          8                   8                   
Inocentas           Baranauskas         9                   9                   
Ipolitas            Kazlaukas           7.6                 7.6                 
Ipolitas            Sakalauskas         7.6                 7.6                 
Ipolitas            Butkus              6.2                 6.2                 
Ipolitas            Urbonas             5.6                 5.6                 
Ipolitas            Paulauskas          5.4                 5.4                 
Ipolitas            Stankevicius        9.4                 9.4                 
Ipolitas            Vasiliauskas        5.8                 5.8                 
Ipolitas            Petrauskas          7.6                 7.6                 
Irenijus            Jankauskas          5.8                 5.8                 
Irenijus            Baranauskas         7.6                 7.6                 
Irenijus            Pocius              8.2                 8.2                 
Irenijus            Paulauskas          6.2                 6.2                 
Irenijus            Urbonas             8                   8                   
Irenijus            Vasiliauskas        6.4                 6.4                 
Irenijus            Vasiliauskas        6.8                 6.8                 
Irenijus            Sakalauskas         8                   8                   
Irenijus            Stankevicius        7.6                 7.6                 
Irmantas            Petrauskas          5.8                 5.8                 
Irmantas            Butkus              6.4                 6.4                 
Irmantas            Kazlaukas           8                   8                   
Irmantas            Paulauskas          8.2                 8.2                 
Irmantas            Butkus              7                   7                   
Irmantas            Butkus              7.6                 7.6                 
Irmantas            Urbonas             7                   7                   
Irmantas            Stankevicius        7                   7                   
Irmantas            Pocius              8.8                 8.8                 
Irmantas            Urbonas             6.6                 6.6                 
Irmantas            zukauskas           5.8                 5.8                 
Irtautas            Paulauskas          5.6                 5.6                 
Irtautas            Petrauskas          7.8                 7.8                 
Irtautas            Pocius              5.4                 5.4                 
Irtautas            Urbonas             6.8                 6.8                 
Irtautas            Kazlaukas           5.6                 5.6                 
Irtautas            Stankevicius        10                  10                  
Irvydas             Baranauskas         6.4                 6.4                 
Irvydas             Butkus              6.6                 6.6                 
Irvydas             Urbonas             7                   7                   
Irvydas             Baranauskas         8.4                 8.4                 
Irvydas             Butkus              8.2                 8.2                 
Irvydas             Stankevicius        8.2                 8.2                 
Irvydas             Vasiliauskas        8.6                 8.6                 
Irvydas             Stankevicius        6.6                 6.6                 
Irvydas             Kazlaukas           6.2                 6.2                 
Irvydas             Vasiliauskas        8.8                 8.8                 
Irvydas             Kateiva             6.2                 6.2                 
Irvydas             zukauskas           6.8                 6.8                 
Isaakas             Paulauskas          5.6                 5.6                 
Isaakas             Petrauskas          8                   8                   
Isaakas             zukauskas           9.2                 9.2                 
Isaakas             Paulauskas          7.8                 7.8                 
Isaakas             Kavaliauskas        5.2                 5.2                 
Isakas              Kateiva             9.2                 9.2                 
Isakas              Kazlaukas           6.4                 6.4                 
Isakas              Paulauskas          8                   8                   
Isakas              Baranauskas         7.4                 7.4                 
Isakas              Pocius              5.4                 5.4                 
Isakas              Butkus              6.6                 6.6                 
Ivanas              Stankevicius        5.2                 5.2                 
Ivanas              Urbonas             6.6                 6.6                 
Ivanas              Kazlaukas           6.2                 6.2                 
Ivanas              Baranauskas         7                   7                   
Ivanas              Petrauskas          7.2                 7.2                 
Ivanas              Urbonas             6.4                 6.4                 
Ivanas              Jankauskas          7.6                 7.6                 
Ivanas              Paulauskas          7.4                 7.4                 
Izidorius           zukauskas           7.8                 7.8                 
Izidorius           Jankauskas          6                   6                   
Izidorius           Pocius              7.6                 7.6                 
Izidorius           Paulauskas          5                   5                   
Izidorius           Kateiva             8                   8                   
Izidorius           Urbonas             5.2                 5.2                 
Izidorius           Urbonas             8.4                 8.4                 
Izidorius           Paulauskas          5.6                 5.6                 
Izidorius           Urbonas             6.4                 6.4                 
Izidorius           Pocius              8.2                 8.2                 
Izidorius           Butkus              9                   9                   
Izidorius           Kateiva             8.4                 8.4                 
Izidorius           Sakalauskas         6.4                 6.4                 
Izoldas             Butkus              8.8                 8.8                 
Izoldas             Pocius              10                  10                  
Izoldas             Petrauskas          7.6                 7.6                 
Izoldas             Kateiva             5.6                 5.6                 
Jacekas             Sakalauskas         5.8                 5.8                 
Jacekas             Vasiliauskas        6                   6                   
Jacekas             Vasiliauskas        8.8                 8.8                 
Jacekas             Jankauskas          9.4                 9.4                 
Jacekas             zukauskas           8.6                 8.6                 
Jacekas             Kateiva             5.4                 5.4                 
Jakovas             Baranauskas         5.8                 5.8                 
Jakovas             Pocius              6.6                 6.6                 
Jakovas             Vasiliauskas        5.4                 5.4                 
Jakubas             Butkus              6.2                 6.2                 
Jakubas             Baranauskas         6.2                 6.2                 
Jakubas             Jankauskas          7.2                 7.2                 
Jakubas             Stankevicius        5.4                 5.4                 
Jakubas             Jankauskas          8.2                 8.2                 
Janas               Stankevicius        8                   8                   
Janas               Sakalauskas         8                   8                   
Janas               Kateiva             5.8                 5.8                 
Janas               Vasiliauskas        7                   7                   
Janas               Jankauskas          7.6                 7.6                 
Janas               Kazlaukas           6.8                 6.8                 
Janas               Baranauskas         7.2                 7.2                 
Janas               Kazlaukas           7.8                 7.8                 
Janas               Baranauskas         6.6                 6.6                 
Janas               Kavaliauskas        6.8                 6.8                 
Janis               Kazlaukas           6.8                 6.8                 
Janis               Pocius              8.6                 8.6                 
Janis               Kazlaukas           6.4                 6.4                 
Jankelis            Butkus              9.4                 9.4                 
Jankelis            Vasiliauskas        7.4                 7.4                 
Jankelis            Butkus              8                   8                   
Jankelis            Petrauskas          5.4                 5.4                 
Jankelis            Petrauskas          7                   7                   
Janusas             Paulauskas          5.2                 5.2                 
Janusas             Stankevicius        6.8                 6.8                 
Janusas             Petrauskas          8.4                 8.4                 
Janusas             Sakalauskas         7.2                 7.2                 
Janusas             Pocius              6.4                 6.4                 
Janusas             Stankevicius        7.6                 7.6                 
Janusas             Petrauskas          8.6                 8.6                 
Janusas             Petrauskas          5.4                 5.4                 
Janusas             Vasiliauskas        7.2                 7.2                 
Janusas             zukauskas           6.2                 6.2                 
Jaroslavas          Vasiliauskas        7                   7                   
Jaroslavas          Urbonas             6.4                 6.4                 
Jaroslavas          Petrauskas          9.6                 9.6                 
Jaroslavas          zukauskas           9.2                 9.2                 
Jaroslavas          Paulauskas          10                  10                  
Jaroslavas          Pocius              8.6                 8.6                 
Jaunius             zukauskas           5.8                 5.8                 
Jaunius             Paulauskas          5.4                 5.4                 
Jaunius             Jankauskas          6.4                 6.4                 
Jaunius             Baranauskas         10                  10                  
Jaunius             Petrauskas          9.4                 9.4                 
Jaunius             Kateiva             7.2                 7.2                 
Jaunius             Sakalauskas         5.8                 5.8                 
Jaunius             Baranauskas         8.4                 8.4                 
Jaunius             Baranauskas         7.8                 7.8                 
Jaunius             zukauskas           5.6                 5.6                 
Jaunutis            Kateiva             5.2                 5.2                 
Jaunutis            Kazlaukas           8                   8                   
Jaunutis            Vasiliauskas        8.2                 8.2                 
Jaunutis            Sakalauskas         7                   7                   
Jegoras             Butkus              7.6                 7.6                 
Jegoras             Kateiva             5.4                 5.4                 
Jegoras             Sakalauskas         7.4                 7.4                 
Jegoras             Pocius              6.4                 6.4                 
Jegoras             Vasiliauskas        5                   5                   
Jegoras             zukauskas           7.6                 7.6                 
Jegoras             zukauskas           8.4                 8.4                 
Jemeljanas          Petrauskas          6.8                 6.8                 
Jemeljanas          Kavaliauskas        8.4                 8.4                 
Jemeljanas          Baranauskas         9.4                 9.4                 
Jemeljanas          Kazlaukas           7.2                 7.2                 
Jemeljanas          Baranauskas         6.2                 6.2                 
Jemeljanas          Kavaliauskas        7.6                 7.6                 
Jeronimas           Urbonas             7.8                 7.8                 
Jeronimas           Kavaliauskas        7.6                 7.6                 
Jeronimas           Vasiliauskas        6.6                 6.6                 
Jeronimas           Vasiliauskas        5.8                 5.8                 
Jevgenijus          Jankauskas          7.2                 7.2                 
Jevgenijus          Pocius              7                   7                   
Jevgenijus          Baranauskas         6.2                 6.2                 
Jevgenijus          zukauskas           9.6                 9.6                 
Jevgenijus          Petrauskas          5.6                 5.6                 
Jevgenijus          Sakalauskas         6                   6                   
Jevgenijus          Petrauskas          6.2                 6.2                 
Jevgenijus          Vasiliauskas        7.2                 7.2                 
Jevgenijus          Vasiliauskas        6.6                 6.6                 
Jevgenijus          Vasiliauskas        7.2                 7.2                 
Jevgenijus          Paulauskas          6.6                 6.6                 
Jevgenijus          Paulauskas          8.4                 8.4                 
Jevgenijus          Vasiliauskas        7                   7                   
Jevgenijus          Kateiva             5                   5                   
Jezis               Jankauskas          5.8                 5.8                 
Jezis               Kavaliauskas        8.4                 8.4                 
Jezis               Urbonas             6.8                 6.8                 
Jezis               Kazlaukas           5.8                 5.8                 
Jezis               Butkus              7                   7                   
Jezis               Kateiva             7.8                 7.8                 
Jezis               zukauskas           8.2                 8.2                 
Jezis               Pocius              7.2                 7.2                 
Jezis               Baranauskas         7.6                 7.6                 
Joanas              Kavaliauskas        7                   7                   
Joanas              Butkus              7.6                 7.6                 
Joanas              Sakalauskas         5.4                 5.4                 
Joanas              Kazlaukas           5.6                 5.6                 
Joanas              zukauskas           5.8                 5.8                 
Joanas              Butkus              7.4                 7.4                 
Joanas              Urbonas             8                   8                   
Joanas              Jankauskas          6.4                 6.4                 
Joanas              Kazlaukas           7.2                 7.2                 
Joanas              Kavaliauskas        9                   9                   
Joanas              Petrauskas          8.8                 8.8                 
Joanas              Kateiva             9.4                 9.4                 
Joanas              Jankauskas          6.6                 6.6                 
Joanas              Stankevicius        6.6                 6.6                 
Jogaila             Sakalauskas         6.4                 6.4                 
Jogaila             Paulauskas          5.8                 5.8                 
Jogaila             Baranauskas         5                   5                   
Jogaila             Jankauskas          8.6                 8.6                 
Jogaila             Vasiliauskas        5                   5                   
Jogaila             Pocius              6.4                 6.4                 
Jogintas            Jankauskas          6.8                 6.8                 
Jogintas            Urbonas             8.2                 8.2                 
Jogintas            zukauskas           5.6                 5.6                 
Jogintas            Sakalauskas         6                   6                   
Jogintas            Kateiva             6                   6                   
Jogintas            Pocius              5                   5                   
Jogirdas            Kateiva             5.6                 5.6                 
Jogirdas            Baranauskas         6.2                 6.2                 
Jogirdas            Butkus              5.8                 5.8                 
Jogirdas            Sakalauskas         6.4                 6.4                 
Jogirdas            Jankauskas          7.4                 7.4                 
Jogirdas            Vasiliauskas        5.2                 5.2                 
Jogirdas            Paulauskas          6.6                 6.6                 
Jogirdas            Kavaliauskas        7.6                 7.6                 
Jokimas             Vasiliauskas        5.6                 5.6                 
Jokimas             Paulauskas          8.8                 8.8                 
Jokimas             Stankevicius        5.6                 5.6                 
Jokimas             Butkus              8                   8                   
Jokubas             Petrauskas          6.4                 6.4                 
Jokubas             Jankauskas          5.2                 5.2                 
Jokubas             Kazlaukas           6.4                 6.4                 
Jokubas             Jankauskas          8.6                 8.6                 
Jokubas             Urbonas             5.8                 5.8                 
Jokubas             zukauskas           6                   6                   
Jokubas             Kateiva             8                   8                   
Jolantas            Stankevicius        6.4                 6.4                 
Jolantas            Paulauskas          5                   5                   
Jolantas            Vasiliauskas        5                   5                   
Jolantas            Kateiva             6                   6                   
Jolantas            Paulauskas          6.4                 6.4                 
Jolantas            Kateiva             5.4                 5.4                 
Jolantas            Kavaliauskas        6.2                 6.2                 
Jomantas            Stankevicius        9.6                 9.6                 
Jomantas            Urbonas             6.6                 6.6                 
Jomantas            Pocius              5.8                 5.8                 
Jomantas            Kateiva             5.2                 5.2                 
Jomantas            Butkus              5                   5                   
Jomantas            Kazlaukas           6.6                 6.6                 
Jomantas            Kazlaukas           7.6                 7.6                 
Jomantas            Pocius              7                   7                   
Jomantas            Vasiliauskas        5                   5                   
Jonaras             Kateiva             5.8                 5.8                 
Jonaras             zukauskas           7.4                 7.4                 
Jonaras             Butkus              5                   5                   
Jonaras             Kazlaukas           5.2                 5.2                 
Jonaras             Petrauskas          9.6                 9.6                 
Jonaras             Baranauskas         8.4                 8.4                 
Jonaras             Petrauskas          6.2                 6.2                 
Jonas               Kateiva             7.8                 7.8                 
Jonas               Stankevicius        6.8                 6.8                 
Jonas               Pocius              6.2                 6.2                 
Jonas               Urbonas             9.6                 9.6                 
Jonas               Kavaliauskas        6.6                 6.6                 
Jonas               Paulauskas          6                   6                   
Jonas               zukauskas           7.2                 7.2                 
Jonas               Stankevicius        5.6                 5.6                 
Jonas               Sakalauskas         10                  10                  
Jonis               Stankevicius        6.4                 6.4                 
Jonis               Paulauskas          9                   9                   
Jonis               Butkus              7.6                 7.6                 
Joris               Kateiva             5.2                 5.2                 
Joris               Stankevicius        8.8                 8.8                 
Joris               Baranauskas         8                   8                   
Joris               Petrauskas          8.6                 8.6                 
Joris               Baranauskas         5.8                 5.8                 
Joris               Urbonas             7                   7                   
Jorunas             Kateiva             8.8                 8.8                 
Jorunas             Sakalauskas         6.4                 6.4                 
Jorunas             Urbonas             7.2                 7.2                 
Jorunas             Kavaliauskas        8.8                 8.8                 
Jorunas             Butkus              8                   8                   
Jorunas             Kateiva             9.6                 9.6                 
Jorunas             Jankauskas          5.4                 5.4                 
Jorunas             Stankevicius        5.6                 5.6                 
Jorunas             Pocius              6.8                 6.8                 
Jorunas             Kazlaukas           6                   6                   
Jorunas             Sakalauskas         7.2                 7.2                 
Josifas             Baranauskas         6                   6                   
Josifas             Pocius              5.6                 5.6                 
Josifas             Kazlaukas           8.4                 8.4                 
Josifas             Stankevicius        6.4                 6.4                 
Josifas             Jankauskas          6.2                 6.2                 
Josifas             Kateiva             5.8                 5.8                 
Josifas             Vasiliauskas        6.8                 6.8                 
Josifas             Vasiliauskas        6                   6                   
Jotautas            Pocius              6.4                 6.4                 
Jotautas            Paulauskas          5.6                 5.6                 
Jotautas            Sakalauskas         9                   9                   
Jotautas            Sakalauskas         7.8                 7.8                 
Jotautas            Kazlaukas           8.4                 8.4                 
Jotautas            Petrauskas          6.4                 6.4                 
Jotautas            Urbonas             6.4                 6.4                 
Jotautas            Jankauskas          5.4                 5.4                 
Jotautas            Jankauskas          8.8                 8.8                 
Jotautas            Petrauskas          5.8                 5.8                 
Jovaldas            zukauskas           7.6                 7.6                 
Jovaldas            Sakalauskas         8                   8                   
Jovaldas            Jankauskas          5.2                 5.2                 
Jovaldas            Baranauskas         6.8                 6.8                 
Jovaldas            Paulauskas          8.4                 8.4                 
Jovaldas            Petrauskas          9.4                 9.4                 
Jovaras             Stankevicius        8.4                 8.4                 
Jovaras             Kavaliauskas        5.2                 5.2                 
Jovaras             Sakalauskas         5.6                 5.6                 
Jovaras             Sakalauskas         8                   8                   
Jovaras             zukauskas           7.4                 7.4                 
Jovaras             Baranauskas         8                   8                   
Jovaras             zukauskas           6                   6                   
Jovaras             Sakalauskas         10                  10                  
Jovaras             zukauskas           5.8                 5.8                 
Jovaras             Petrauskas          6.2                 6.2                 
Jovaras             Sakalauskas         9.2                 9.2                 
Jovitas             Butkus              6.4                 6.4                 
Jovitas             Baranauskas         7.4                 7.4                 
Jovitas             Kateiva             7.2                 7.2                 
Jovitas             Jankauskas          5                   5                   
Jovitas             Stankevicius        5                   5                   
Jovitas             Sakalauskas         5.6                 5.6                 
Jovitas             Butkus              6.8                 6.8                 
Judrius             Pocius              5.8                 5.8                 
