Vardas              Pavarde             ND1    Egz    
Valerijus           Jankauskas          9      1      
Kajus               Jankauskas          2      6      
Marcelinas          Kazlaukas           8      2      
Matvejus            Pocius              5      1      
Vilius              Kavaliauskas        10     1      
Gendrius            Kazlaukas           3      7      
Kozmas              Pocius              2      7      
Regimantas          Petrauskas          6      2      
Trofimas            Pocius              7      2      
Nortautas           Kateiva             3      10     
Gintaras            Baranauskas         2      9      
Mintaras            Sakalauskas         10     4      
Vitalijus           Kavaliauskas        8      2      
ceslovas            Kazlaukas           10     3      
Tomas               Kavaliauskas        10     8      
Gendrius            Butkus              9      1      
Denis               Kateiva             2      7      
Silverijus          Kateiva             5      1      
Aristarchas         Kavaliauskas        7      10     
Jonis               Kavaliauskas        1      5      
Nikas               Vasiliauskas        5      3      
Rufas               Urbonas             5      6      
Medas               Petrauskas          8      4      
Ralfas              Butkus              6      1      
Michailas           Sakalauskas         10     10     
Eivydas             Butkus              8      6      
Vaidotas            Jankauskas          9      7      
Jonas               Kateiva             9      7      
Jankelis            Sakalauskas         2      4      
Virgis              Paulauskas          7      8      
Vilmas              Baranauskas         2      2      
Vingaudas           Butkus              2      4      
Viktoras            Baranauskas         1      4      
Aristarchas         Kavaliauskas        8      8      
Gediminas           Urbonas             4      8      
Bronislovas         zukauskas           2      9      
Dominykas           Urbonas             6      7      
Vygaudas            Paulauskas          7      5      
Jonaras             Kateiva             4      7      
Mantrimas           Kateiva             6      10     
Rolandas            Urbonas             2      3      
Rimantas            Kazlaukas           7      1      
Oktavijus           Pocius              6      8      
Fedoras             Kateiva             8      1      
Rimtis              Kateiva             7      9      
Francas             Butkus              2      7      
Gordejus            Paulauskas          2      10     
Rytas               Butkus              1      2      
Mykolas             Pocius              9      6      
Aristarchas         Kavaliauskas        7      7      
Laimis              Urbonas             8      1      
Karpas              Kavaliauskas        2      10     
Skaistis            Kateiva             7      4      
Vaidas              Urbonas             1      5      
Lukrecijus          Butkus              10     7      
Zbignevas           Stankevicius        9      2      
Marcelijus          Urbonas             4      6      
Kastytis            Baranauskas         4      7      
Benjaminas          Paulauskas          2      7      
Nazarijus           Butkus              10     7      
Norbertas           Kazlaukas           5      10     
Jomantas            Stankevicius        9      10     
Eidminas            Urbonas             2      10     
Foma                zukauskas           2      7      
Aivaras             Sakalauskas         2      7      
zibartas            Kazlaukas           6      7      
Teisutis            Baranauskas         1      7      
Sabinas             Kavaliauskas        7      10     
Achilas             Paulauskas          4      8      
Aleksas             Kazlaukas           9      10     
Kiprijonas          Urbonas             3      5      
Abramas             Kavaliauskas        10     7      
Vaidas              Jankauskas          2      1      
Naumas              Kazlaukas           5      7      
Semionas            Kateiva             3      9      
Henris              Petrauskas          2      4      
Sonetas             Stankevicius        10     10     
Palmyras            Sakalauskas         8      4      
Bartas              Kazlaukas           7      4      
Tautrimas           Stankevicius        7      10     
Kostas              Kateiva             9      7      
Timotiejus          Urbonas             6      10     
Skaidrius           Sakalauskas         9      1      
Georgijus           Pocius              9      2      
Anzelmas            Petrauskas          4      6      
Vacys               Baranauskas         1      4      
Nikolajus           Sakalauskas         2      5      
Dziugas             Kavaliauskas        1      2      
Gerimantas          Jankauskas          1      3      
Melanijus           Sakalauskas         6      5      
Narcizas            Kateiva             4      6      
Deivis              Petrauskas          1      1      
Vydmantas           Kateiva             7      8      
Algimantas          Petrauskas          9      8      
Mantrimas           Stankevicius        9      6      
Fiodoras            Baranauskas         8      1      
Pranas              Urbonas             6      3      
Marinas             Vasiliauskas        5      8      
Neivydas            Urbonas             5      8      
Klevas              Petrauskas          2      8      
Klimentijus         Jankauskas          6      9      
Vytenis             Kavaliauskas        5      2      
Rinatas             Stankevicius        9      4      
Nortautas           Stankevicius        10     10     
Samsonas            Baranauskas         2      7      
Rasius              Kazlaukas           5      1      
Otonas              Jankauskas          4      4      
Samuilas            Urbonas             5      8      
Gerutis             Urbonas             4      1      
Balys               zukauskas           8      1      
Alius               Kateiva             6      1      
Eidvydas            Kavaliauskas        3      8      
Aristarchas         Urbonas             7      1      
Anzelmas            Jankauskas          9      7      
Jokimas             Butkus              5      10     
Ausrys              Petrauskas          7      4      
Klevas              Paulauskas          8      8      
Nikita              Vasiliauskas        7      4      
Leonardas           Baranauskas         3      10     
Arimantas           Petrauskas          6      5      
Uosis               Sakalauskas         1      9      
Kristijonas         Urbonas             1      7      
Emilis              Kateiva             7      7      
Neivydas            Baranauskas         10     10     
Denis               Baranauskas         2      3      
Baltazaras          Urbonas             1      1      
Aloyzas             Petrauskas          4      6      
Tauras              Jankauskas          1      9      
Ferdinandas         Kateiva             2      2      
Mendelis            Kazlaukas           8      5      
Hermanas            Sakalauskas         4      10     
Michalas            Pocius              7      4      
Alvidas             Kavaliauskas        3      9      
Arnoldas            Sakalauskas         5      10     
Juozapatas          Kavaliauskas        8      4      
Ernestas            Petrauskas          3      7      
Foma                zukauskas           1      9      
Mefodijus           Petrauskas          1      4      
Vykantas            Petrauskas          4      8      
Apolinaras          Butkus              8      8      
Mikas               Kateiva             10     10     
Rufinas             Kavaliauskas        7      8      
Maksas              Baranauskas         5      7      
Rikardas            Urbonas             8      8      
Aloyzas             Pocius              10     6      
Lionginas           Kavaliauskas        5      7      
Dariusas            Urbonas             10     7      
Fabijus             Vasiliauskas        5      2      
Maksimilijonas      Paulauskas          9      9      
Svajunas            Urbonas             5      5      
Grazvydas           Petrauskas          9      3      
Sidoras             Kateiva             3      6      
Severas             Petrauskas          3      6      
Jovaras             Kavaliauskas        4      6      
Viktorijus          zukauskas           6      3      
Juris               Pocius              10     9      
Ruslanas            Kazlaukas           2      8      
Fredas              Kavaliauskas        4      8      
Vydmantas           Kateiva             7      9      
Ilja                Petrauskas          2      9      
Mildas              Kateiva             6      4      
Severinas           Kateiva             4      2      
Edvinas             zukauskas           2      7      
Sviatoslavas        Butkus              2      10     
Tadas               Petrauskas          3      3      
Gailimantas         Kavaliauskas        2      4      
Utenis              Paulauskas          3      6      
Valerijonas         Jankauskas          6      3      
Medas               zukauskas           5      8      
Liutauras           Kateiva             3      7      
Vydimantas          Pocius              3      2      
Medardas            Pocius              3      2      
Palemonas           Kateiva             9      3      
Juozapas            Petrauskas          9      8      
Ramunas             Jankauskas          9      8      
Agnius              Petrauskas          9      8      
Mantas              Jankauskas          2      3      
Ambraziejus         Kavaliauskas        3      3      
Erikas              Butkus              8      7      
Boleslavas          Petrauskas          3      5      
Virgilijus          Urbonas             3      4      
Orestas             Stankevicius        7      1      
Andrius             zukauskas           2      10     
Vestas              Paulauskas          5      1      
Jomantas            Paulauskas          9      2      
Laurentijus         zukauskas           1      3      
Algimantas          Butkus              4      7      
Gitanas             Pocius              1      5      
Armantas            Paulauskas          5      4      
Kleopas             Pocius              6      2      
Silvestras          Vasiliauskas        7      4      
Vaitiekus           Urbonas             3      8      
Virgaudas           Pocius              4      2      
Tamosius            Vasiliauskas        9      5      
Nerius              Butkus              9      8      
Ciprijonas          Kavaliauskas        2      8      
Abramas             Kateiva             7      7      
Grigorijus          Jankauskas          6      6      
Michalas            Kazlaukas           2      1      
Gedminas            Jankauskas          6      5      
zygis               Vasiliauskas        8      10     
Silvijus            Stankevicius        3      8      
Vilmas              Paulauskas          7      9      
Fiodoras            Kazlaukas           8      2      
Adrijus             Kateiva             3      6      
Karolis             Urbonas             2      8      
Lavrentijus         Vasiliauskas        7      3      
Mykolas             zukauskas           8      2      
Gytis               Jankauskas          9      4      
Nazarijus           Vasiliauskas        6      3      
Romualdas           Paulauskas          8      1      
Teisius             Vasiliauskas        2      8      
Nikita              Urbonas             2      8      
Zigfridas           Petrauskas          1      3      
Daivis              Kazlaukas           7      8      
Klaudas             Stankevicius        6      7      
Lozorius            Urbonas             3      2      
Liubomiras          Sakalauskas         8      9      
Morkus              Kateiva             8      9      
Ernestas            Butkus              3      2      
Jacekas             Jankauskas          10     9      
Vaidotas            Kateiva             5      2      
Laimonas            Urbonas             7      6      
Darijus             Petrauskas          3      2      
Povilas             zukauskas           2      7      
Lukrecijus          Kavaliauskas        4      3      
Janusas             zukauskas           5      7      
Daivis              Petrauskas          6      8      
Gasparas            Baranauskas         1      2      
Vigilijus           Kateiva             4      8      
Mendelis            Kazlaukas           1      5      
Ferdinandas         Sakalauskas         9      8      
Dionizas            Kazlaukas           4      9      
Sidas               Kateiva             2      7      
Maksimilijonas      Kavaliauskas        8      1      
Sergejus            Baranauskas         8      2      
Orintas             Sakalauskas         5      7      
Rufas               Sakalauskas         9      9      
Jevgenijus          Kateiva             1      1      
Klaudijus           Butkus              6      2      
Simeonas            Pocius              5      7      
Algimantas          zukauskas           2      10     
Elmantas            Stankevicius        6      2      
Antonas             Kateiva             2      4      
Vladislavas         Butkus              5      5      
Albertas            Baranauskas         10     10     
Kazimieras          Pocius              4      3      
Jokimas             Petrauskas          1      3      
Andriejus           Petrauskas          6      4      
Diomidas            Kateiva             4      3      
Rupertas            Stankevicius        3      10     
Dovis               Kavaliauskas        10     9      
Adomas              Pocius              5      8      
Verneris            Kazlaukas           2      2      
Vadimas             Stankevicius        9      3      
Valerijonas         Pocius              2      2      
Einius              Vasiliauskas        8      8      
Valerijonas         zukauskas           4      8      
Grigas              Butkus              8      6      
Sidoras             Kazlaukas           2      4      
Achilas             Butkus              6      6      
Alius               Butkus              1      2      
Ramunas             Butkus              3      9      
Arvydas             Stankevicius        9      7      
Viesulas            Butkus              7      5      
Helmutas            Stankevicius        6      3      
Rupertas            Baranauskas         10     3      
Salvijus            Pocius              4      6      
Almonas             Baranauskas         10     10     
Vaidotas            Paulauskas          10     8      
Nojus               Kateiva             5      5      
Mazvydas            Butkus              1      8      
Putinas             Kavaliauskas        3      1      
Vergilijus          Pocius              7      6      
Akimas              Urbonas             2      5      
zilvinas            Paulauskas          1      3      
Albertas            Paulauskas          2      6      
Telesforas          Sakalauskas         6      8      
Vygandas            Butkus              8      4      
Stasius             Butkus              8      6      
Ignacas             Kazlaukas           7      7      
Zenius              Baranauskas         8      7      
Laimutis            Kavaliauskas        8      9      
Zigmantas           Stankevicius        8      1      
Vidas               Kateiva             4      3      
Orintas             Urbonas             8      2      
Severinas           Sakalauskas         7      1      
Jovaldas            Kazlaukas           9      1      
Minijus             Butkus              9      5      
Vsevolodas          Petrauskas          7      4      
Kristupas           Vasiliauskas        10     6      
Richardas           Butkus              5      1      
Vygintas            Jankauskas          7      3      
Nikandras           Vasiliauskas        3      8      
Zdislavas           Kazlaukas           2      7      
Libertas            Vasiliauskas        3      3      
Medardas            Vasiliauskas        9      10     
Josifas             Petrauskas          6      1      
Medardas            zukauskas           10     1      
Gavrila             Petrauskas          2      1      
Rapolas             Stankevicius        2      9      
Rafailas            Vasiliauskas        2      2      
Vydmantas           Urbonas             9      3      
Leonardas           Stankevicius        2      5      
Ugnius              Sakalauskas         6      4      
Gedminas            Urbonas             7      2      
Kalikstas           Petrauskas          7      4      
Dovilis             Kavaliauskas        4      3      
Felicijus           Jankauskas          6      7      
Virmantas           Baranauskas         8      7      
Geraldas            Urbonas             7      2      
Ilja                Pocius              8      5      
Vaidas              Kateiva             2      6      
Isaakas             Petrauskas          5      10     
Viktorijus          Kateiva             10     9      
Aristarchas         Petrauskas          6      4      
Girmantas           zukauskas           7      4      
Urbonas             zukauskas           1      4      
Ovidijus            Petrauskas          8      5      
Arnas               Vasiliauskas        9      4      
Chaimas             Pocius              2      4      
zybartas            Butkus              6      4      
Zakarijus           Jankauskas          1      8      
Julius              zukauskas           10     4      
Rapolas             Paulauskas          3      5      
Natanas             Kavaliauskas        2      6      
Aivaras             zukauskas           7      10     
Zigmas              Kazlaukas           8      4      
Rafailas            Kateiva             9      9      
Viltenis            Urbonas             8      1      
Klementas           Pocius              4      5      
Apolonijus          Stankevicius        4      3      
Danielius           Butkus              9      3      
Dzonis              Jankauskas          3      5      
Vingaudas           Petrauskas          3      2      
Medardas            Stankevicius        1      4      
Joanas              zukauskas           7      5      
Nikas               Kateiva             3      8      
Voicechas           Sakalauskas         4      2      
Laisvydas           Kazlaukas           2      8      
Nerimantas          Petrauskas          8      10     
Virgis              Paulauskas          10     8      
Daivis              Pocius              7      3      
Vladislovas         Urbonas             10     9      
Lavrentijus         zukauskas           9      5      
Albrechtas          Paulauskas          2      3      
Polikarpas          zukauskas           2      9      
Deimantas           Kavaliauskas        6      9      
Arvydas             Pocius              3      6      
Rytas               Jankauskas          1      6      
Alius               Butkus              1      10     
Vygirdas            Vasiliauskas        5      7      
Nikiforas           Jankauskas          6      6      
Vaizgantas          Stankevicius        4      4      
Ignacas             Petrauskas          8      10     
Viktorijus          Kavaliauskas        2      6      
Pilenas             Baranauskas         5      9      
Merkys              zukauskas           5      7      
Libertas            Vasiliauskas        8      6      
Jogaila             Vasiliauskas        5      5      
Kastytis            Petrauskas          3      9      
Giedrius            Kateiva             9      1      
Danas               Kazlaukas           7      6      
Girvydas            Jankauskas          3      7      
Eugeniusas          Kateiva             7      5      
Denis               zukauskas           6      7      
Gerimantas          Stankevicius        2      10     
Ulrikas             Paulauskas          5      8      
Henrikas            Kavaliauskas        4      1      
Teisutis            Baranauskas         4      3      
Stepas              Paulauskas          9      10     
Dariusas            zukauskas           2      4      
Almis               Kavaliauskas        6      6      
Augustas            zukauskas           1      6      
Palemonas           Vasiliauskas        4      3      
Leonidas            Sakalauskas         9      8      
Liubartas           Jankauskas          4      2      
Igoris              Stankevicius        7      6      
Haris               Butkus              2      6      
Mecislovas          Baranauskas         7      2      
Rufas               Baranauskas         6      10     
Timotiejus          Kazlaukas           1      1      
Eligijus            Stankevicius        1      9      
Drasutis            Kazlaukas           9      9      
Arijus              Pocius              6      9      
Milanas             Pocius              6      9      
Almonas             zukauskas           9      10     
Arunas              Butkus              5      9      
Jurgis              Paulauskas          1      7      
Tedas               Urbonas             10     1      
Fedoras             Sakalauskas         8      10     
Vingaudas           Jankauskas          7      7      
Kamilis             Kazlaukas           4      2      
Jokubas             Petrauskas          7      6      
Vilhelmas           zukauskas           8      9      
Vilgaudas           Kavaliauskas        5      4      
Vilmantas           Sakalauskas         3      7      
Rimvydas            Kavaliauskas        8      7      
Artas               Kavaliauskas        5      9      
Lauras              Pocius              5      3      
Sergejus            Sakalauskas         10     5      
Morkus              Kateiva             10     7      
Indrius             Stankevicius        2      4      
Platonas            Baranauskas         1      1      
Vacius              Kazlaukas           10     6      
Gytis               Urbonas             1      3      
Vilenas             Petrauskas          6      1      
Valerijonas         Paulauskas          8      7      
Rimtis              zukauskas           10     7      
Osvaldas            Sakalauskas         8      7      
Eldaras             Sakalauskas         3      5      
Sava                Stankevicius        5      7      
Joris               Stankevicius        4      2      
Natas               Sakalauskas         9      1      
Virginijus          Jankauskas          8      4      
Armantas            Kateiva             2      1      
Alfonsas            Sakalauskas         8      7      
Valdimantas         Kazlaukas           9      5      
Horstas             Stankevicius        7      3      
Eivydas             Kavaliauskas        9      9      
Jaunutis            Jankauskas          7      1      
Dzonis              Pocius              1      10     
Jogintas            Urbonas             7      9      
Vainius             zukauskas           6      7      
Kiprijonas          Pocius              6      8      
Adomas              Stankevicius        4      9      
Kestautas           Pocius              2      2      
Samuilas            Butkus              6      9      
Julijus             Stankevicius        9      8      
Napalis             Baranauskas         2      6      
Titas               Petrauskas          4      6      
Ovidijus            Kavaliauskas        9      2      
Geivydas            Kazlaukas           9      10     
Tarasas             Butkus              4      2      
Danius              Kazlaukas           2      1      
Romanas             Urbonas             3      4      
Agnius              Baranauskas         10     6      
Janas               Kavaliauskas        8      6      
Ubaldas             Baranauskas         2      10     
Konstantinas        Petrauskas          8      3      
Rimantas            Kateiva             6      7      
Gailimantas         Vasiliauskas        4      1      
Boleslovas          Kavaliauskas        2      1      
Arvydas             Baranauskas         1      10     
Dionizas            Vasiliauskas        3      2      
Minijus             Kazlaukas           8      5      
Aistis              Butkus              5      9      
Horstas             Kavaliauskas        1      10     
Brunonas            Baranauskas         5      1      
Kornelijus          Baranauskas         6      3      
Ramunas             Butkus              1      10     
Albertas            Paulauskas          2      8      
Tiberijus           Vasiliauskas        2      8      
Mantas              Petrauskas          6      7      
Nidas               Petrauskas          2      9      
Osvaldas            Stankevicius        9      8      
Rokas               Baranauskas         7      6      
Zigmas              Paulauskas          2      3      
Jokubas             Jankauskas          8      9      
Edmundas            Sakalauskas         1      9      
Vaidutis            Kateiva             2      10     
Aivaras             Pocius              2      1      
Otonas              Butkus              2      10     
Gedvydas            zukauskas           6      2      
Laisvydas           Pocius              4      4      
Antonas             Stankevicius        9      2      
Fabijus             Kateiva             4      2      
Vygandas            Stankevicius        5      9      
Lauras              Urbonas             2      1      
Vytautas            Baranauskas         9      3      
Kasparas            Petrauskas          2      4      
zygaudas            Baranauskas         6      7      
Izoldas             Pocius              4      5      
Herbertas           Baranauskas         1      2      
Florijonas          Butkus              10     5      
Eivydas             Petrauskas          9      10     
Rutenis             Vasiliauskas        2      7      
Timas               Vasiliauskas        5      4      
Romanas             Kazlaukas           6      5      
Uosis               Butkus              2      8      
Borisas             Butkus              4      7      
Merunas             Stankevicius        8      9      
Mecys               Paulauskas          10     8      
Dobilas             Kazlaukas           9      10     
Narcizas            Kavaliauskas        3      9      
Zigfridas           Paulauskas          4      2      
Ipolitas            Sakalauskas         10     6      
Antonas             Petrauskas          10     9      
Sonetas             Baranauskas         10     5      
Kestas              Kateiva             9      10     
Jokimas             Vasiliauskas        2      6      
Alvidas             Urbonas             9      6      
Dominykas           Butkus              3      9      
Hilarijus           zukauskas           8      4      
Anicetas            Petrauskas          3      3      
Laimonas            zukauskas           10     8      
Stanislovas         Baranauskas         6      3      
Maksimilijonas      Pocius              2      3      
Santaras            Jankauskas          1      10     
Irvydas             Butkus              9      5      
Jemeljanas          Kavaliauskas        4      10     
Virgintas           zukauskas           7      1      
Renius              zukauskas           7      1      
Agatas              zukauskas           10     9      
Ignas               Baranauskas         1      9      
Gvidonas            Sakalauskas         8      9      
Remas               Kateiva             2      10     
Svajus              Vasiliauskas        7      2      
Drasius             Stankevicius        7      6      
Urbonas             Kateiva             7      3      
ukas                Urbonas             10     9      
Vilijus             Kavaliauskas        9      9      
Gerimantas          Stankevicius        6      3      
Natas               Petrauskas          2      1      
Izidorius           Butkus              9      9      
Eidminas            Petrauskas          6      5      
Zenius              Urbonas             6      3      
Romualdas           Kazlaukas           3      3      
Nazarijus           Paulauskas          7      9      
Gintas              Pocius              1      10     
Benjaminas          Butkus              10     10     
Nikita              Paulauskas          6      1      
Stepas              Jankauskas          6      9      
Sviatoslavas        Kazlaukas           8      9      
Gvidonas            Butkus              5      5      
Ivanas              Baranauskas         7      7      
Martinas            Stankevicius        9      9      
Nedas               Kazlaukas           3      2      
Ugnius              Stankevicius        8      8      
Minijus             zukauskas           3      2      
Arnoldas            Kateiva             2      2      
Makarijus           Kazlaukas           10     1      
Danius              Paulauskas          10     2      
Linas               Kazlaukas           1      8      
zibartas            Urbonas             3      2      
Laisvydas           Kateiva             3      7      
Vaigirdas           Jankauskas          1      6      
Sava                Petrauskas          8      7      
Jonas               Kateiva             4      5      
Kipras              zukauskas           1      1      
Feliksas            Stankevicius        8      9      
Vytis               Butkus              5      6      
Gaudenis            Petrauskas          7      4      
Gerutis             Kazlaukas           2      9      
Haraldas            Urbonas             4      2      
Alius               Kavaliauskas        8      5      
Klaudas             Kazlaukas           5      10     
Rokas               Butkus              1      2      
Ramintas            Stankevicius        10     5      
Bogdanas            Kavaliauskas        7      6      
Visvaldis           Paulauskas          8      3      
zygis               Kazlaukas           6      1      
Edvinas             Butkus              7      3      
Leonardas           Stankevicius        2      9      
Irtautas            Pocius              9      3      
Jolantas            Stankevicius        1      10     
Vakaris             Stankevicius        7      1      
Rolfas              Jankauskas          6      10     
Aras                Butkus              6      8      
ciogintas           Kateiva             10     9      
Sebastijonas        Kateiva             1      4      
Alpas               Butkus              5      7      
Stanislavas         Paulauskas          6      9      
Ronaldas            Kazlaukas           1      5      
Almonas             Kazlaukas           5      8      
Eldaras             Kazlaukas           8      6      
Jurgis              Stankevicius        2      5      
Celestinas          Sakalauskas         1      2      
Normanas            Petrauskas          8      7      
Borisas             Butkus              5      3      
Nerimas             Jankauskas          7      3      
Silvestras          Sakalauskas         3      6      
Gedvilas            Jankauskas          5      3      
Irmantas            Stankevicius        4      9      
Danila              Baranauskas         1      10     
Kristinas           Jankauskas          7      6      
Skirmantas          Jankauskas          10     10     
Liudvikas           Pocius              4      8      
Algis               Butkus              2      10     
Melanijus           zukauskas           2      8      
Mamertas            Kazlaukas           3      6      
Serapinas           Stankevicius        6      5      
Antonijus           Kateiva             9      3      
Tomas               Kazlaukas           8      9      
Silvestras          Vasiliauskas        5      10     
Zigmas              Kateiva             5      2      
Antonijus           zukauskas           1      3      
Viesulas            Vasiliauskas        7      10     
Gerardas            zukauskas           1      1      
Kovas               Kavaliauskas        4      2      
Kristupas           Jankauskas          5      6      
Vitoldas            Pocius              2      3      
Verneris            zukauskas           9      3      
Akvilinas           Petrauskas          5      10     
Geivydas            Sakalauskas         5      7      
Vaizgantas          Pocius              4      5      
Aleksandras         Stankevicius        6      3      
Laurentijus         Jankauskas          9      3      
Linas               Vasiliauskas        9      9      
Kazys               Pocius              4      9      
Narvydas            Paulauskas          7      9      
Simeonas            Pocius              3      5      
Neivydas            Kazlaukas           3      7      
Trofimas            Urbonas             3      10     
Vygaudas            Kazlaukas           9      8      
Achilas             Urbonas             9      8      
Brunonas            Kateiva             1      10     
Jakovas             Baranauskas         9      1      
Ruslanas            Kazlaukas           10     10     
Arvydas             Baranauskas         10     6      
Raigardas           Kateiva             9      4      
Milvydas            zukauskas           6      3      
Justas              Baranauskas         4      4      
Isaakas             Paulauskas          2      8      
Laisvydas           Kavaliauskas        3      4      
Mantas              Paulauskas          3      6      
Timotiejus          Paulauskas          7      5      
Marinas             Kazlaukas           3      2      
Gasparas            Butkus              6      9      
Morkus              Pocius              3      8      
Tiberijus           Paulauskas          3      8      
Tadas               Kazlaukas           2      6      
Patricijus          Stankevicius        4      8      
Gitanas             Paulauskas          9      5      
Jonaras             Petrauskas          9      10     
Ervinas             Baranauskas         3      4      
Gailius             Baranauskas         3      9      
Ubaldas             Stankevicius        2      7      
Vejas               Jankauskas          3      8      
Cecilijus           Kateiva             9      8      
Regimantas          zukauskas           3      4      
Celestinas          Pocius              10     5      
Makaras             Kateiva             8      1      
Laimonas            Butkus              2      4      
Tomas               Urbonas             6      10     
Vergilijus          Vasiliauskas        9      6      
Dmitrijus           Petrauskas          4      4      
Ipolitas            Kazlaukas           4      10     
Jogirdas            Kavaliauskas        4      4      
Ambraziejus         Pocius              5      7      
Aurimas             Urbonas             10     3      
Petras              zukauskas           7      9      
Jevgenijus          zukauskas           9      10     
Sigitas             Jankauskas          2      1      
Lavrentijus         Stankevicius        10     8      
Vyturys             Kateiva             2      4      
Drasius             Baranauskas         10     3      
Vykintas            zukauskas           5      9      
Gedvaldas           Pocius              3      6      
Gerdas              Petrauskas          6      4      
Valentas            Pocius              1      10     
Mantautas           Butkus              7      8      
Juzefas             Kateiva             1      7      
Jomantas            Kazlaukas           10     6      
Radvila             zukauskas           4      7      
Vilius              Pocius              8      3      
Ulrikas             Sakalauskas         2      2      
Irvydas             Baranauskas         6      10     
Hubertas            Baranauskas         3      9      
Anicetas            Petrauskas          6      4      
Rinatas             Baranauskas         4      5      
Vejunas             Stankevicius        5      9      
Terentijus          Pocius              6      7      
Alvydas             Urbonas             3      2      
Liudvikas           Petrauskas          8      8      
Adomas              Vasiliauskas        6      9      
Levas               Petrauskas          4      4      
Markas              Kateiva             1      6      
Norvydas            Kateiva             7      7      
Platonas            zukauskas           5      4      
Orintas             Baranauskas         2      7      
Vitalius            Vasiliauskas        9      10     
Felicijus           Urbonas             2      9      
Ugnius              Paulauskas          4      2      
Arminas             Vasiliauskas        6      1      
Josifas             Vasiliauskas        3      8      
Drasius             Stankevicius        6      3      
Kristupas           Petrauskas          8      4      
Zbignevas           Baranauskas         7      4      
Ignotas             Kateiva             3      6      
Genadijus           Kazlaukas           5      6      
Valdis              Kavaliauskas        9      9      
Sigis               Vasiliauskas        2      1      
Herbertas           Baranauskas         8      6      
Vilgaudas           Paulauskas          9      6      
Visvaldis           Sakalauskas         4      6      
Vainius             Pocius              5      5      
Vladislavas         Stankevicius        9      10     
Marcelijus          Kateiva             4      1      
Baltazaras          Baranauskas         9      5      
Valdimantas         Stankevicius        10     7      
Abraomas            Kavaliauskas        9      1      
Miroslavas          Butkus              10     4      
Adomas              Pocius              5      2      
Juozas              Sakalauskas         7      9      
Virmantas           Pocius              8      6      
Putinas             Urbonas             8      2      
zygaudas            Sakalauskas         6      7      
Henrikas            Pocius              7      10     
Eidminas            Kavaliauskas        5      3      
zvaigzdzius         Butkus              2      5      
Konradas            Kavaliauskas        4      2      
Arkadijus           Baranauskas         4      10     
Vygirdas            Kazlaukas           10     1      
Irvydas             Stankevicius        7      9      
Svajunas            Kateiva             3      1      
Celestinas          Jankauskas          8      9      
Emilis              Kazlaukas           5      9      
Valteris            Baranauskas         6      6      
Jogaila             Pocius              2      2      
Moze                Pocius              9      1      
Eidminas            Petrauskas          2      7      
Ambraziejus         Pocius              2      10     
Otonas              Kateiva             2      9      
Danielius           Kavaliauskas        5      5      
Rutenis             Butkus              8      4      
Fredas              Kateiva             7      10     
Vaidas              Kateiva             9      7      
Vakaris             Paulauskas          9      4      
Erazmas             Kazlaukas           10     3      
Zenonas             Kateiva             2      6      
Viktoras            Baranauskas         6      9      
Valdis              Baranauskas         5      2      
Leandras            Paulauskas          4      2      
Gunaras             Stankevicius        6      5      
Augustas            Urbonas             10     3      
Vacius              Sakalauskas         2      8      
zybartas            Butkus              1      3      
Ubaldas             Paulauskas          10     10     
Vyturys             Stankevicius        2      2      
Felicijus           Kavaliauskas        3      7      
Viesulas            Urbonas             1      2      
Gabrielius          Kavaliauskas        3      4      
Celestinas          Stankevicius        9      4      
Antanas             Kazlaukas           8      5      
Polis               Sakalauskas         4      4      
Vaidis              Butkus              1      6      
Vaidis              Butkus              4      2      
Kazimieras          Paulauskas          9      2      
Napoleonas          zukauskas           6      9      
Kastantas           zukauskas           3      3      
Pranas              Paulauskas          5      2      
Jovaras             Stankevicius        6      10     
Skaistis            Butkus              1      4      
Laisvydas           Paulauskas          4      7      
Gvidas              Kateiva             4      2      
Pranciskus          Pocius              6      9      
Kondratas           Baranauskas         9      4      
Sergijus            Sakalauskas         6      1      
zygis               Urbonas             6      3      
Kajus               Kavaliauskas        6      9      
Vilmas              Butkus              4      4      
Timas               Stankevicius        1      8      
Janas               Paulauskas          4      3      
Mazvydas            Baranauskas         8      2      
Makaras             Jankauskas          7      4      
Rafailas            Sakalauskas         3      4      
Gervydas            Sakalauskas         4      4      
Kostas              Butkus              9      8      
Salvijus            Jankauskas          7      3      
Juris               Kazlaukas           3      1      
Libertas            Kazlaukas           4      4      
zygimantas          Urbonas             10     10     
Petras              Butkus              7      5      
Cecilijus           Vasiliauskas        7      2      
Kristoforas         Petrauskas          1      9      
Skaidrius           zukauskas           2      7      
Zigmantas           Kazlaukas           2      2      
Vygaudas            Kazlaukas           2      9      
Jaroslavas          Kavaliauskas        7      1      
Jurijus             Vasiliauskas        1      2      
Viktoras            Stankevicius        3      8      
Gedmantas           Kavaliauskas        4      2      
Vilmas              Kazlaukas           7      4      
Anupras             Kateiva             2      8      
Viltautas           Kateiva             6      7      
Leonardas           Kateiva             10     1      
Josifas             Jankauskas          5      7      
Nemunas             Kazlaukas           10     6      
Orintas             Sakalauskas         7      2      
Rolandas            Kazlaukas           4      8      
Genadijus           Sakalauskas         7      5      
Tautvydas           Stankevicius        10     2      
cesius              Jankauskas          1      6      
Erazmas             zukauskas           6      2      
Mecys               Butkus              6      6      
Jaunius             zukauskas           10     3      
